ISO3,Country,g_pop_pct_per_yr,GDPpc_2100_eps0.92,GDPpc_2100_eps1.22,difference_pct,in_panel_a
BLR,Belarus,-0.96461500467808,34821.61148251989,27425.472562403957,-21.240082251301672,False
MNG,Mongolia,0.60856490947444,27424.9682439579,27884.907552251443,1.6770823732671802,False
PSE,West Bank and Gaza,0.96957577306878,13116.012256367225,13674.419144603684,4.257444086828888,False
TJK,Tajikistan,0.84968852168451,7201.174870656309,7464.854148523304,3.66161470319859,False
BEN,Benin,1.3249217747966602,3544.9143636759336,3804.946092458612,7.335345853405495,False
CRI,Costa Rica,-0.40302282250400995,36928.08957700029,31052.623148325765,-15.910561569732295,False
ZWE,Zimbabwe,1.0578138657862999,3683.862462721517,3885.566238474715,5.475334049365843,False
CYP,Cyprus,-0.08289166166248,105731.28175826203,96865.81220836451,-8.38490690973276,False
LTU,Lithuania,-1.1328758806588801,104268.99953474585,80687.59051006152,-22.615934870293085,False
BFA,Burkina Faso,0.98688059255261,2509.405284563772,2656.9079136782816,5.877991491523904,False
GAB,Gabon,1.31612038475492,18101.519922545333,19287.341904257428,6.55095255418392,False
HND,Honduras,0.59612096062193,7253.275773105507,7248.303550038882,-0.06855141348770522,False
URY,Uruguay,-0.54042418615867,52186.97420580432,43859.5082896418,-15.956981685357652,False
CUB,Cuba,-0.8912554101729,20896.546635418952,15836.075423401366,-24.21678232440693,False
MWI,Malawi,1.32194632113974,1654.783319582776,1770.7842726883512,7.010038820963138,False
SOM,Somalia,1.66472448956447,1444.64534213037,1582.4926749331255,9.541949763218472,False
VEN,"Venezuela, RB",-0.005802509061181762,3391.48154359412,3170.0292063460897,-6.529663641139749,False
GIN,Guinea,1.01893244782651,2993.5945790595088,3161.926129548598,5.623057700150347,False
GEO,Georgia,-0.3271796460549,31846.739732794147,28722.512713861022,-9.810194215001399,False
RWA,Rwanda,1.09550128850275,2874.645598284392,3036.853712872937,5.642716955625837,False
MDG,Madagascar,1.29212704214637,1084.6011107598215,1157.0093512136582,6.676024921559498,False
ISL,Iceland,-0.1073237927957,239240.30857716317,223932.1754717076,-6.398642936258458,False
EST,Estonia,-0.6574321989945799,104934.6326749553,88899.3402944517,-15.28122029089709,False
BWA,Botswana,0.55254528702646,21751.161042183063,21814.571726606428,0.29152781454004906,False
PRI,Puerto Rico,-1.55347097864813,83134.44540606419,53559.47990620333,-35.574863530278066,False
MAC,"Macao SAR, China",-1.02235425687068,243529.59689626336,201292.298168809,-17.343805133240643,False
LVA,Latvia,-0.9269723766114599,84654.59393588541,67061.88054361205,-20.781758643361403,False
GNQ,Equatorial Guinea,1.27917782111797,14882.61868365724,15831.413235842663,6.375185525832938,False
MRT,Mauritania,1.57552931414263,4293.14002362528,4644.576020581088,8.185989625818046,False
TGO,Togo,1.33776750604084,2598.01884579165,2787.1694131248864,7.280569486230948,False
GUY,Guyana,0.08856415564351,71638.92450013266,68712.86937486308,-4.0844487067420605,False
NAM,Namibia,0.87631310880775,10411.518165060632,10844.406419168516,4.157782248899933,False
MLT,Malta,-0.53279733171344,163548.38046217765,142851.78817839292,-12.654721633621458,False
BRN,Brunei Darussalam,0.00591557048707871,124307.23549373886,115391.98356995384,-7.171949314433967,False
SLV,El Salvador,-0.29291710788995,11367.386448729285,9811.009688564684,-13.691597159860635,False
BIH,Bosnia and Herzegovina,-1.10485897745932,39766.442686116425,29687.360363022508,-25.345697634183416,False
SLE,Sierra Leone,0.80504562353812,3104.5683600031766,3244.052037979352,4.4928525257544205,False
HTI,Haiti,0.33197569690973,3257.1329590169,3227.8191414006897,-0.8999883635409822,False
NIC,Nicaragua,0.28850853672521004,5262.689155084639,4965.715092745798,-5.643009753899575,False
ARM,Armenia,-0.74187601497373,24991.72388055694,20087.14669970385,-19.62480541275806,False
TTO,Trinidad and Tobago,-0.68135481929079,41928.66257118945,34316.017966297615,-18.156182759148464,False
