ISO3,Country,Region,GDP_2024,GDPpc_2024,Pop_2024,GDP_2050,GDPpc_2050,Pop_2050,GDP_2075,GDPpc_2075,Pop_2075,GDP_2100,GDPpc_2100,Pop_2100,g_agg,g_pc,g_pop,identity_residual,GDP_2100_lo,GDP_2100_hi,beta_expansion,beta_contraction,alpha_decadal,rank_agg_2024,rank_pc_2024,rank_agg_2050,rank_pc_2050,rank_agg_2075,rank_pc_2075,rank_agg_2100,rank_pc_2100
TGO,Togo,Sub-Saharan Africa,8428949720.756145,885.8371690156865,9515236.0,19131656157.41858,1227.5860559206285,15584778.0,36121898423.22046,1676.660891954375,21543950.0,61406889053.02001,2334.795764905448,26300754.0,0.0261296033217492,0.01275192826134079,0.013377675060408411,0.0,14547031996.134312,270410679634.24857,0.810049399924367,0.7367749316151256,0.1365976460793127,145,159,143,161,135,162,133,162
MLT,Malta,Middle East & North Africa,18896653230.781654,35019.28853921772,539607.0,31435000071.823624,58677.93137066425,535721.0,44518600314.84006,96759.37264144886,460096.0,59904741030.70831,166433.49585674048,359932.0,0.01518119503202427,0.020509168349158738,-0.005327973317134469,8.673617379884035e-19,13985464686.064362,232982099585.97882,0.8825596294329269,0.876176390884048,0.23320109036196607,117,27,128,26,132,27,134,26
MRT,Mauritania,Sub-Saharan Africa,8319741953.7029,1609.4227571510592,5169395.0,19350012089.46811,2055.10176724496,9415598.0,35507255852.72055,2585.212740115042,13734752.0,58170525844.16023,3398.1149741930913,17118469.0,0.025588783664372696,0.009833490522946369,0.015755293141426326,0.0,12072462575.896952,252428586158.15332,0.7427213996420619,0.6694469313328206,0.1285493729774231,146,139,142,143,136,148,135,150
NAM,Namibia,Sub-Saharan Africa,11945908887.613407,3942.3737414697275,3030131.0,24965971209.581123,5532.8691967980685,4512301.0,40339991329.198204,7324.916274445498,5507229.0,56627577400.40668,9601.240262777448,5897944.0,0.02047509516462831,0.011711964076550752,0.008763131088077558,0.0,12918086060.91029,267034578463.98904,0.7853713873713224,0.7120969190620812,0.13330179611557733,139,110,134,119,133,123,136,129
ARM,Armenia,Europe & Central Asia,15769614476.317745,5302.778386301127,2973840.0,23974941800.399807,9608.397940691817,2495207.0,33020175852.838055,16075.064530105317,2054124.0,49144633401.71923,29041.893089177054,1692198.0,0.014956351295288503,0.02237511144502585,-0.007418760149737347,8.673617379884035e-19,11441453994.796394,180082773864.33392,0.8524570373750212,0.7366838991865732,0.23382689135977755,126,97,137,88,141,85,137,80
HTI,Haiti,Latin America & Caribbean,14387964510.412056,1222.1613800988227,11772557.0,24593554110.697212,1671.795582794347,14710862.0,35335322231.553566,2247.2326557833526,15723927.0,47343721082.655525,3124.7726538709467,15151093.0,0.01567160717273754,0.012351850203640236,0.003319756969097304,4.336808689942018e-19,9547216604.026716,202457376648.70602,0.6860190681921455,0.6324632609787785,0.13576454924310016,133,150,135,152,137,153,138,152
SLE,Sierra Leone,Sub-Saharan Africa,9546574083.420938,1104.6690327125918,8642022.0,20471144447.416466,1580.9878457187679,12948325.0,33737304476.825478,2175.4963998477856,15507865.0,46084435010.28169,2892.1610780121578,15934256.0,0.020714380292467388,0.012663924057086107,0.008050456235381283,-1.734723475976807e-18,10802433030.43471,214263305492.93588,0.8124911303475534,0.7392166620383122,0.1291839675155158,142,153,141,153,140,155,139,155
NIC,Nicaragua,Latin America & Caribbean,15512132423.7641,2242.888724601309,6916140.0,26256984609.031883,2998.594702296699,8756430.0,34984424250.52407,3793.5963614842376,9221968.0,45835514378.81223,5322.4563425076,8611722.0,0.014255746828812468,0.011370661461560275,0.0028850853672521956,-2.6020852139652106e-18,9491878123.828856,193594462110.57687,0.690580982937189,0.6370251757238222,0.14068247454827798,127,130,132,135,138,141,140,141
ALB,Albania,Europe & Central Asia,15309497321.678831,5483.80587967785,2791765.0,22311945383.073265,9959.951799586845,2240166.0,29300160655.600044,17292.55577591806,1694380.0,39039559922.15915,32944.85971032766,1184997.0,0.012317133068390149,0.023592577402139502,-0.011275444333749354,0.0,7856004742.923893,173274307825.3026,0.7726609527794838,0.6568878145910357,0.22967943715997902,128,96,139,85,142,80,141,76
TTO,Trinidad and Tobago,Latin America & Caribbean,22111157399.05959,14664.691181523316,1507782.0,28670411982.21428,20481.791671820458,1399800.0,34158737179.34218,30102.91168253136,1134732.0,38734807783.48656,43117.484494978664,898355.0,0.00737705632781058,0.014190604520718507,-0.006813548192907926,-1.734723475976807e-18,8756866749.107645,212290431462.61264,0.8881274349648497,0.8345716277514829,0.15368541859320903,111,56,130,60,139,63,142,64
