ISO3,Region,n_obs,beta_mean,hdi_lo,hdi_hi
XKX,Europe & Central Asia,2,0.955922270240504,0.3605376165108011,1.5035675351689044
GRL,Europe & Central Asia,10,0.9561279959834154,0.37573170040716947,1.5188822161053184
MNE,Europe & Central Asia,4,0.9568484259615199,0.35223375753734043,1.5320595391286782
SEN,Sub-Saharan Africa,12,0.957934649543072,0.45331070200574586,1.4450082898264462
GMB,Sub-Saharan Africa,10,0.9588765622701687,0.4876460278107899,1.438462016145891
ARM,Europe & Central Asia,6,0.9589413286021078,0.37060137570266094,1.5360978989857685
ERI,Sub-Saharan Africa,3,0.9590557491025999,0.3970464176058268,1.4980963287353872
LVA,Europe & Central Asia,6,0.9598953934328588,0.38048494742722555,1.4864973312371466
MCO,Europe & Central Asia,10,0.9606754399526554,0.391015243494919,1.5085202257346657
ZMB,Sub-Saharan Africa,12,0.9618004717567693,0.49744023180763997,1.453523452407903
MKD,Europe & Central Asia,6,0.9622792507125106,0.4356133895730851,1.5486667650935542
MAR,Middle East & North Africa,10,0.9627323686069926,0.4527417493723478,1.4998115290014447
DEU,Europe & Central Asia,12,0.9636862755495399,0.40924734828750015,1.534733354011388
OMN,Middle East & North Africa,12,0.9673940550071052,0.5369487655596505,1.3853367792304838
